track_id;track_name;track_popularity;track_number;album_id;album_name;album_img;album_type;album_label;album_track_number;album_popularity;artist_num;artist_names;artist_id;artist_name;artist_img;artist_followers;artist_popularity;artist_genres;rank;week;collab;explicit;release_date;danceability;energy;key;mode;time_signature;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration;pivot;streams;track_index
3NdDpSvN911VPGivFlV5d0;"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""";0;1;5MxXY7DbFMUiHFTPUabgJJ;I Don’t Wanna Live Forever (Fifty Shades Darker);https://i.scdn.co/image/ab67616d0000b2732ae921f082ae5db4d3da818f;single;Universal Music Group;1;0;2;ZAYN, Taylor Swift;06HL4z0CvFAxyc27GXpf02;Taylor Swift;https://i.scdn.co/image/ab6761610000e5eb5a00969a4698c3132a15fbb0;60644358;99;pop;5;1/6/2017;TRUE;FALSE;2016-12-09;735;451;0;1;4;-8.374;0.0585;0.0631;1.3e-05;325;0.0862;117.973;245200;1;18316326;5
5MFzQMkrl1FOOng9tq6R9r;Don't Wanna Know;0;1;0fvTn3WXF39kQs9i3bnNpP;Don't Wanna Know;https://i.scdn.co/image/ab67616d0000b273eec1912bbc2ff74b8203fe5f;single;Universal Music Group;1;0;2;Maroon 5, Kendrick Lamar;04gDigrS5kc9YWfZHwBETP;Maroon 5;https://i.scdn.co/image/ab6761610000e5eb288ac05481cedc5bddb5b11b;38266644;86;pop;6;1/6/2017;TRUE;FALSE;2016-10-11;783;623;7;1;4;-6.126;0.08;338;0;0.0975;447;100.048;214480;0;18064374;6
5MFzQMkrl1FOOng9tq6R9r;Don't Wanna Know;0;1;0fvTn3WXF39kQs9i3bnNpP;Don't Wanna Know;https://i.scdn.co/image/ab67616d0000b273eec1912bbc2ff74b8203fe5f;single;Universal Music Group;1;0;2;Maroon 5, Kendrick Lamar;2YZyLoL8N0Wb9xBt1NhZWg;Kendrick Lamar;https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022;21725588;89;conscious hip hop, hip hop, rap, west coast rap;6;1/6/2017;TRUE;FALSE;2016-10-11;783;623;7;1;4;-6.126;0.08;338;0;0.0975;447;100.048;214480;1;18064374;6
343YBumqHu19cGoGARUTsd;Fake Love;74;20;1lXY618HWkwYKJWBRYR4MK;More Life;https://i.scdn.co/image/ab67616d0000b2734f0fd9dad63977146e685700;album;Cash Money Records/Young Money Ent./Universal Rec.;20;80;1;Drake;3TVXtAsR1Inumwj472S9r4;Drake;https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9;67940172;95;canadian hip hop, canadian pop, hip hop, rap, toronto rap;7;1/6/2017;FALSE;TRUE;2017-03-18;928;481;9;0;4;-9.35;287;105;0;176;613;134.007;210937;0;17037036;7
5uCax9HTNlzGybIStD3vDh;Say You Won't Let Go;85;2;7oiJYvEJHsmYtrgviAVIBD;Back from the Edge;https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab;album;Columbia;2;77;1;James Arthur;4IWBUUAFIplrNtaOHcJPRM;James Arthur;https://i.scdn.co/image/ab6761610000e5eb6867a4ce52401bd378bb5179;10444361;81;pop, talent show, uk pop;8;1/6/2017;FALSE;FALSE;2016-10-28;358;557;10;1;4;-7.398;59;695;0;0.0902;494;85.043;211466;0;16950854;8
6b8Be6ljOzmkOmFslEb23P;24K Magic;79;1;4PgleR09JVnm3zY1fW3XBA;24K Magic;https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5;album;Atlantic Records;1;77;1;Bruno Mars;0du5cEVh5yTK9QJze8zA0C;Bruno Mars;https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd;43809074;88;dance pop, pop;9;1/6/2017;FALSE;FALSE;2016-11-17;818;803;1;1;4;-4.282;0.0797;34;0;153;632;106.97;225983;0;16736035;9
5GXAXm5YOmYT0kL5jHvYBt;I Feel It Coming;74;18;4AdZV63ycxFLF6Hcol0QnB;Starboy;https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a;album;Universal Republic Records;18;79;2;The Weeknd, Daft Punk;1Xyo4u8uXC1ZmMpatF05PJ;The Weeknd;https://i.scdn.co/image/ab6761610000e5ebb5f9e28219c169fd4b9e8379;51215861;94;canadian contemporary r&b, canadian pop, pop;10;1/6/2017;TRUE;FALSE;2016-11-24;773;819;0;0;4;-5.946;118;426;0;0.0679;585;92.99;269186;0;16609685;10
5GXAXm5YOmYT0kL5jHvYBt;I Feel It Coming;74;18;4AdZV63ycxFLF6Hcol0QnB;Starboy;https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a;album;Universal Republic Records;18;79;2;The Weeknd, Daft Punk;4tZwfgrHOc3mvqYlEYSvVi;Daft Punk;https://i.scdn.co/image/ab6761610000e5eb96d66c60658005885d1135ce;8953122;81;electro, filter house;10;1/6/2017;TRUE;FALSE;2016-11-24;773;819;0;0;4;-5.946;118;426;0;0.0679;585;92.99;269186;1;16609685;10
6fujklziTHa8uoM5OQSfIo;Black Beatles;76;5;5v6iBhIlflzR9rEd1LAMbd;SremmLife 2 (Deluxe);https://i.scdn.co/image/ab67616d0000b273881fb62d913fe712fc2e1c95;album;Mike WiLL Made-It;5;69;2;Rae Sremmurd, Gucci Mane;7iZtZyCzp3LItcw1wtPI3D;Rae Sremmurd;https://i.scdn.co/image/ab6761610000e5eb209b540fb909a4e61c3ffa01;6954252;73;hip hop, melodic rap, mississippi hip hop, pop rap, rap, southern hip hop, trap;11;1/6/2017;TRUE;TRUE;2016-08-12;794;632;0;1;4;-6.163;0.0649;142;0;128;355;145.926;291893;0;16130702;11
6fujklziTHa8uoM5OQSfIo;Black Beatles;76;5;5v6iBhIlflzR9rEd1LAMbd;SremmLife 2 (Deluxe);https://i.scdn.co/image/ab67616d0000b273881fb62d913fe712fc2e1c95;album;Mike WiLL Made-It;5;69;2;Rae Sremmurd, Gucci Mane;13y7CgLHjMVRMDqxdx0Xdo;Gucci Mane;https://i.scdn.co/image/ab6761610000e5ebb9b77f64bd278ffde2c94428;4500544;78;atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap;11;1/6/2017;TRUE;TRUE;2016-08-12;794;632;0;1;4;-6.163;0.0649;142;0;128;355;145.926;291893;1;16130702;11
